date,passenger_count,weekday_num,weekday,is_weekend,holiday_name,is_holiday,day_type,day_type_order
2025-08-08,9956891.0,4,금,False,,False,Ordinary weekday,0
2025-08-09,6894294.0,5,토,True,,False,Ordinary weekend,1
2025-08-10,5347522.0,6,일,True,,False,Ordinary weekend,1
2025-08-11,9466293.0,0,월,False,,False,Ordinary weekday,0
2025-08-12,9816049.0,1,화,False,,False,Ordinary weekday,0
2025-08-13,9241090.0,2,수,False,,False,Ordinary weekday,0
2025-08-14,9658511.0,3,목,False,,False,Ordinary weekday,0
2025-08-15,6315626.0,4,금,False,광복절,True,Public holiday,2
2025-08-16,6585758.0,5,토,True,,False,Ordinary weekend,1
2025-08-17,5007315.0,6,일,True,,False,Ordinary weekend,1
2025-08-18,9304241.0,0,월,False,,False,Ordinary weekday,0
2025-08-19,9656158.0,1,화,False,,False,Ordinary weekday,0
2025-08-20,9800443.0,2,수,False,,False,Ordinary weekday,0
2025-08-21,9918634.0,3,목,False,,False,Ordinary weekday,0
2025-08-22,10191264.0,4,금,False,,False,Ordinary weekday,0
2025-08-23,7270251.0,5,토,True,,False,Ordinary weekend,1
2025-08-24,5307781.0,6,일,True,,False,Ordinary weekend,1
2025-08-25,9443211.0,0,월,False,,False,Ordinary weekday,0
2025-08-26,9703585.0,1,화,False,,False,Ordinary weekday,0
2025-08-27,9964600.0,2,수,False,,False,Ordinary weekday,0
2025-08-28,9993216.0,3,목,False,,False,Ordinary weekday,0
2025-08-29,10212433.0,4,금,False,,False,Ordinary weekday,0
2025-08-30,7259841.0,5,토,True,,False,Ordinary weekend,1
2025-08-31,5328381.0,6,일,True,,False,Ordinary weekend,1
2025-09-01,9579551.0,0,월,False,,False,Ordinary weekday,0
2025-09-02,10096187.0,1,화,False,,False,Ordinary weekday,0
2025-09-03,10172842.0,2,수,False,,False,Ordinary weekday,0
2025-09-04,10123744.0,3,목,False,,False,Ordinary weekday,0
2025-09-05,10525177.0,4,금,False,,False,Ordinary weekday,0
2025-09-06,7165164.0,5,토,True,,False,Ordinary weekend,1
2025-09-07,5635277.0,6,일,True,,False,Ordinary weekend,1
2025-09-08,9824414.0,0,월,False,,False,Ordinary weekday,0
2025-09-09,10174298.0,1,화,False,,False,Ordinary weekday,0
2025-09-10,10354033.0,2,수,False,,False,Ordinary weekday,0
2025-09-11,10410100.0,3,목,False,,False,Ordinary weekday,0
2025-09-12,10656210.0,4,금,False,,False,Ordinary weekday,0
2025-09-13,7727495.0,5,토,True,,False,Ordinary weekend,1
2025-09-14,6092527.0,6,일,True,,False,Ordinary weekend,1
2025-09-15,10025627.0,0,월,False,,False,Ordinary weekday,0
2025-09-16,10059760.0,1,화,False,,False,Ordinary weekday,0
2025-09-17,9924949.0,2,수,False,,False,Ordinary weekday,0
2025-09-18,10497423.0,3,목,False,,False,Ordinary weekday,0
2025-09-19,10718019.0,4,금,False,,False,Ordinary weekday,0
2025-09-20,8020430.0,5,토,True,,False,Ordinary weekend,1
2025-09-21,6020074.0,6,일,True,,False,Ordinary weekend,1
